,title,url,site_name,fb_engagement,published_date,category,elapsed_days,engagement_per_day,month_published,engagement_per_month,title_length
646,Cowardly Macron Hides in His Palace as His Liberal Policies Tear France Apart,https://neonnettle.com/features/1596-cowardly-macron-hides-in-his-palace-as-his-liberal-policies-tear-france-apart,neonnettle.com,6021,2018-12-08,Neon Nettle,1846,3.2616468039003252,December,97.84940411700975,77.0
647,Man Arrested For Going To Parks And Telling Kids Where Children Come From,https://www.huzlers.com/man-arrested-for-telling-kids-where-children-come-from/,www.huzlers.com,5999,2018-05-28,The Pharoah,2040,2.940686274509804,May,88.22058823529412,73.0
648,COPS TAKE A KNEE THEN WALK OUT ON REDSKINS LEAVING THEM STRANDED IN THEIR LOCKER ROOM OVERNIGHT - universaleinfo,https://www.universaleinfo.com/2018/08/05/cops-take-a-knee-then-walk-out-on-redskins-leaving-them-stranded-in-their-locker-overnight/,www.universaleinfo.com,5991,2018-08-05,Admin,1971,3.0395738203957383,August,91.18721461187214,112.0
649,Culpeper man taken into custody for stealing 32 packs of hotdogs and eating them in the Walmart men’s restroom,http://www.breakingnews247.net/5b8993794eac9/culpeper-man-taken-into-custody-for-stealing-32-packs-of-hotdogs-and-eating-them-in-the-walmart-men-s-restroom.html,www.breakingnews247.net,5970,2018-09-01,Breakingnews247.net,1944,3.0709876543209877,September,92.12962962962963,110.0
650,"Unreleased Memo: Russian Agents ""Within The Democratic Party"" Involved in DNC ""Hack""",http://www.truthandaction.org/unreleased-memo-russian-agents-within-the-democratic-party-involved-in-dnc-hack/,www.truthandaction.org,5945,2018-03-08,Uncategorized,2121,2.802923149457803,March,84.08769448373408,84.0
651,Florida Man Dies In Meth-Lab Explosion After Lighting Farts On Fire,https://www.huzlers.com/florida-man-dies-in-meth-lab-explosion-after-lighting-farts-on-fire/,www.huzlers.com,5944,2018-07-01,The Pharoah,2006,2.9631106679960117,July,88.89332003988036,67.0
652,"Clintons Worked with British Government to Spy on Trump, Insider Reveals",https://neonnettle.com/news/5729-clintons-worked-with-british-government-to-spy-on-trump-insider-reveals,neonnettle.com,5938,2018-11-23,Jay Greenberg,1861,3.1907576571735627,November,95.72272971520688,72.0
653,"Assad: Everytime Syria Defeats ISIS, The West Conducts A 'False Flag'",http://www.neonnettle.com/news/4075-assad-everytime-syria-defeats-isis-the-west-conducts-a-false-flag-,www.neonnettle.com,5928,2018-04-20,Neon Nettle,2078,2.85274302213667,April,85.5822906641001,69.0
654,"Father on Life Support After Getting Flu Shot, Family Blames Vaccine",https://neonnettle.com/news/5765-father-on-life-support-after-getting-flu-shot-family-blames-vaccine,neonnettle.com,5926,2018-11-27,Jay Greenberg,1857,3.1911685514270327,November,95.735056542811,68.0
655,Bono: 'Trump Is Worst Thing To Ever Happen To America',https://yournewswire.com/bono-trump-america/,yournewswire.com,5918,2017-12-29,Sean Adl-tabatabai,2190,2.702283105022831,December,81.06849315068493,54.0
656,Former Democrat Party Chairman 'Streamed Live Videos of Child Sex Abuse',https://newspunch.com/former-democrat-chairman-videos-abuse/,newspunch.com,5912,2018-11-25,Baxter Dmitry,1859,3.1802044109736416,November,95.40613232920924,72.0
657,Former Democrat Party Chairman 'Streamed Live Videos of Child Sex Abuse',https://newspunch.com/former-democrat-chairman-videos-abuse/,newspunch.com,5912,2018-11-25,Baxter Dmitry,1859,3.1802044109736416,November,95.40613232920924,72.0
658,House Memo States Hillary Clinton Paid For Illegal Trump Surveillance,https://yournewswire.com/house-memo-clinton-paid-trump/,yournewswire.com,5889,2018-02-02,Baxter Dmitry,2155,2.7327146171693735,February,81.98143851508121,69.0
659,Report: 3 FBI Agents Pitched ‘Trump-Russia Collusion’ to Russian Oligarch Weeks Before Election,http://www.truthandaction.org/report-3-fbi-agents-pitched-trump-russia-collusion-russian-oligarch-weeks-election/,www.truthandaction.org,5885,2018-05-15,Uncategorized,2053,2.86653677545056,May,85.9961032635168,95.0
660,Shopping Mall Pulls Nativity Scene to Avoid Offending Non-Christian People,https://neonnettle.com/news/5850-shopping-mall-pulls-nativity-scene-to-avoid-offending-non-christian-people,neonnettle.com,5878,2018-12-06,Jay Greenberg,1848,3.180735930735931,December,95.42207792207792,74.0
661,Man spends £500 on fireworks and is devastated to learn he still has incredibly tiny penis,https://uokhun.uk/2018/10/28/man-spends-500-on-fireworks-and-is-devastated-to-learn-he-still-has-incredibly-tiny-penis/,uokhun.uk,5868,2018-10-28,Uncategorized,1887,3.109697933227345,October,93.29093799682035,90.0
662,Don Lemon: ‘The President of the United States Is Racist — A Lot of Us Already Knew That’,http://www.truthandaction.org/don-lemon-the-president-of-the-united-states-is-racist-a-lot-of-us-already-knew-that/,www.truthandaction.org,5862,2018-01-13,Uncategorized,2175,2.6951724137931032,January,80.8551724137931,89.0
663,White woman gives birth to a black baby and accuses her husband of having sex with a black girl,https://thereisnews.com/gives-birth-black-baby-accuses-her-husband9999/,thereisnews.com,5853,2018-04-20,Sr. Lobo,2078,2.81665062560154,April,84.4995187680462,95.0
664,Pope Francis: 'There Is No Hell',http://www.truthandaction.org/pope-francis-there-is-no-hell/,www.truthandaction.org,5830,2018-04-02,Uncategorized,2096,2.7814885496183206,April,83.44465648854963,32.0
665,"Putin To Send 3,650 Pedophiles Into Space 'For Life'",https://yournewswire.com/putin-pedophiles-space/,yournewswire.com,5810,2017-12-20,Baxter Dmitry,2199,2.6421100500227377,December,79.26330150068213,52.0
667,Woman Sues Adult Dating Site After Giving Her Brother A BJ Through A Glory Hole,https://www.8shit.net/woman-sues-adult-dating-site-after-giving-her-brother-a-bj-through-a-glory-hole/,www.8shit.net,5791,2018-05-23,I'm Luis! ^-^ (@zerquix18),2045,2.8317848410757946,May,84.95354523227384,79.0
668,Man arrested in Jackson for putting 3 women in a wheelchair from sex during an orgy,http://www.breakingnews247.net/5b8964622cb1c/man-arrested-in-jackson-for-putting-3-women-in-a-wheelchair-from-sex-during-an-orgy.html,www.breakingnews247.net,5762,2018-09-02,Breakingnews247.net,1943,2.9655172413793105,September,88.96551724137932,83.0
669,"EXPOSED: Brazen Plot Between FBI, DOJ to Exonerate Hillary Clinton, 'Frame' President Trump",http://www.truthandaction.org/exposed-brazen-plot-between-fbi-and-doj-to-exonerate-hillary-clinton-frame-president-trump/,www.truthandaction.org,5756,2018-01-24,Uncategorized,2164,2.6598890942698707,January,79.7966728280961,91.0
670,California Establishes Gun Confiscation Force,http://www.truthandaction.org/california-establishes-gun-confiscation-force/,www.truthandaction.org,5750,2018-02-28,Uncategorized,2129,2.7007984969469234,February,81.0239549084077,45.0
671,"Top Senate Staffer Arrested in Leak Probe, NY Times Reporter's Records Seized",http://www.truthandaction.org/top-senate-staffer-arrested-leak-probe-ny-times-reporters-records-seized/,www.truthandaction.org,5745,2018-06-08,Uncategorized,2029,2.8314440611138494,June,84.94332183341547,77.0
672,"FBI Admits to ""Secret Society"" Linking Bureau to DOJ",http://www.truthandaction.org/fbi-admits-to-secret-society-linking-bureau-to-doj/,www.truthandaction.org,5729,2018-01-23,Uncategorized,2165,2.646189376443418,January,79.38568129330254,52.0
673,Ryanair to start ejecting racist passengers mid-flight,https://uokhun.uk/2018/10/22/ryanair-to-start-ejecting-racist-passengers-mid-flight/,uokhun.uk,5661,2018-10-22,Uncategorized,1893,2.9904912836767035,October,89.7147385103011,54.0
674,[SPOILER] Simba Will Be A Vegan In The New Live Action “The Lion King”,https://www.huzlers.com/spoiler-simba-will-be-a-vegan-in-the-new-live-action-the-lion-king/,www.huzlers.com,5604,2018-12-06,The Pharoah,1848,3.0324675324675323,December,90.97402597402598,70.0
675,This is why the police helicopter was flying overhead last night you nosey pricks,https://uokhun.uk/2018/09/30/this-is-why-the-police-helicopter-was-flying-overhead-last-night-you-nosey-pricks2/,uokhun.uk,5585,2018-09-30,Uncategorized,1915,2.91644908616188,September,87.49347258485639,81.0
676,Israeli Army Caught Running Massive Pedophile Ring - Media Blackout,https://yournewswire.com/israeli-army-pedophile-ring-media-blackout/,yournewswire.com,5568,2018-08-04,Sean Adl-tabatabai,1972,2.823529411764706,August,84.70588235294117,67.0
677,Fears grow for mum radicalised by Parkrun,https://uokhun.uk/2018/11/10/fears-grow-for-mum-radicalised-by-parkrun/,uokhun.uk,5550,2018-11-10,Uncategorized,1874,2.961579509071505,November,88.84738527214515,41.0
678,Daily Mail confirms O2 network problems due to high number of immigrants calling home,https://uokhun.uk/2018/12/06/daily-mail-confirms-o2-network-problems-due-to-high-number-of-immigrants-calling-home/,uokhun.uk,5538,2018-12-06,Uncategorized,1848,2.9967532467532467,December,89.9025974025974,85.0
679,"Retirement home raided by the FBI for running elderly fight club, 7 arrests",https://worldnewsdailyreport.com/retirement-home-raided-by-the-fbi-for-running-elderly-fight-club-7-arrests/,worldnewsdailyreport.com,5528,2018-05-28,Uncategorized,2040,2.7098039215686276,May,81.29411764705883,75.0
680,Stevenage renamed Stephanieville after complaints from feminists,https://uokhun.uk/2018/10/28/stevenage-renamed-stephanieville-after-complaints-from-feminists/,uokhun.uk,5516,2018-10-28,Uncategorized,1887,2.9231584525702172,October,87.69475357710652,64.0
681,Open Border Politician Found Beheaded in the Congo,http://www.truthandaction.org/open-border-politician-found-beheaded-in-the-congo/,www.truthandaction.org,5475,2018-02-13,Uncategorized,2144,2.5536380597014925,February,76.60914179104478,50.0
682,Tributes flood in for police officer murdered in steel mill while trying to rescue kidnapped child,https://uokhun.uk/2018/10/07/tributes-flood-in-for-police-officer-murdered-in-steel-mill-while-trying-to-rescue-kidnapped-child/,uokhun.uk,5434,2018-10-07,Uncategorized,1908,2.848008385744235,October,85.44025157232704,98.0
683,West Rogers Park man charged with slapping elote man with gun,http://www.react365.com/5b92096b5875a/west-rogers-park-man-charged-with-slapping-elote-man-with-gun.html,www.react365.com,5426,2018-09-07,React365.com,1938,2.799793601651187,September,83.99380804953562,61.0
684,Valentine's Day Tragedy: Teen Masturbated 56 Times Straight Before Dying Of Heart Attack,https://www.8shit.net/valentines-day-tragedy-teen-masturbated-56-times-straight-dying-heart-attack/,www.8shit.net,5422,2018-02-14,I'm Luis! ^-^ (@zerquix18),2143,2.5300979934671024,February,75.90293980401306,88.0
685,Sir Tom Jones Flees US As Child Rape Charge Moves Forward,https://yournewswire.com/tom-jones-flees-child-rape/,yournewswire.com,5416,2018-01-09,Baxter Dmitry,2179,2.4855438274437818,January,74.56631482331343,57.0
686,"Suspicious Package Sent To Trump Believed To Contain Books, Condoms",https://www.burrardstreetjournal.com/suspicious-package-sent-to-trump-believed-to-contain-books-condoms/,www.burrardstreetjournal.com,5414,2018-10-26,The Burrard Street Journal,1889,2.8660667019587085,October,85.98200105876124,67.0
687,Man emasculated after trying to use air compressor to enlarge his penis,https://worldnewsdailyreport.com/man-emasculated-after-trying-to-use-air-compressor-to-enlarge-his-penis/,worldnewsdailyreport.com,5413,2018-01-16,Uncategorized,2172,2.4921731123388584,January,74.76519337016575,71.0
688,"UN Whistleblower: UN, Oxfam & Clinton Foundation Traffic Kids For Sex",https://yournewswire.com/un-whistleblower-oxfam-clinton-foundation-kids-sex/,yournewswire.com,5402,2018-02-17,John White,2140,2.5242990654205606,February,75.72897196261682,69.0
690,Oakland Mayor Facing 10 Years In Prison For Helping Child Rapists Escape Arrest,https://yournewswire.com/oakland-mayor-prison-child-rapists/,yournewswire.com,5398,2018-03-08,Baxter Dmitry,2121,2.545025931164545,March,76.35077793493635,79.0
691,Paramedics confirm they are just lazy and enjoy annoying people by making them wait,https://uokhun.uk/2018/10/30/paramedics-confirm-they-are-just-lazy-and-enjoy-annoying-people-by-making-them-wait/,uokhun.uk,5385,2018-10-30,Uncategorized,1885,2.856763925729443,October,85.70291777188329,83.0
692,Drug mule arrested after diarrhea ejects cocaine in middle of airport,https://worldnewsdailyreport.com/drug-mule-arrested-after-diarrhea-ejects-cocaine-in-middle-of-airport/,worldnewsdailyreport.com,5380,2018-06-03,Uncategorized,2034,2.6450344149459193,June,79.35103244837758,69.0
693,Obama Admin Paid Over $1 Million to FBI Informant who Spied on Trump Aide After Election,http://www.truthandaction.org/obama-admin-paid-over-1-million-to-fbi-informant-who-spied-on-trump-aide-after-election/,www.truthandaction.org,5375,2018-05-22,Uncategorized,2046,2.6270772238514173,May,78.81231671554252,88.0
694,Border Agents Find Body Of 6-Year-Old Girl: “She Was Raped By 30 Men”,https://newspunch.com/border-agents-body-6-year-old-girl-raped-30-men/,newspunch.com,5359,2018-12-01,Sean Adl-tabatabai,1853,2.8920669185105234,December,86.7620075553157,69.0
695,Border Agents Find Body Of 6-Year-Old Girl: “She Was Raped By 30 Men”,https://newspunch.com/border-agents-body-6-year-old-girl-raped-30-men/,newspunch.com,5359,2018-12-01,Sean Adl-tabatabai,1853,2.8920669185105234,December,86.7620075553157,69.0
696,"Peter Fonda: ""Rip Barron Trump From His Mother's Arms…Put Him in Cage With Pedophiles""",http://www.truthandaction.org/peter-fonda-rip-barron-trump-mothers-armsput-cage-pedophiles/,www.truthandaction.org,5350,2018-06-20,Uncategorized,2017,2.6524541398116015,June,79.57362419434804,86.0
697,USA Today: Geoengineering Could Lead To Extinction,https://yournewswire.com/usa-today-geoengineering-extinction/,yournewswire.com,5325,2018-01-23,Sean Adl-tabatabai,2165,2.459584295612009,January,73.78752886836027,50.0
698,Michelle Obama: Abortion Is Ok Because 'You Can Just Make Another Baby',https://worstpot.us/ever/michelle-obama-abortion-is-ok-because-you-can-just-make-another-baby/,worstpot.us,5280,2018-09-14,Beth Palmer,1931,2.7343345416882445,September,82.03003625064734,71.0
699,Historians Confirm Karl Marx Was Employed By The Rothschilds,https://yournewswire.com/karl-marx-employed-rothschilds/,yournewswire.com,5248,2018-05-06,Sean Adl-tabatabai,2062,2.545101842870999,May,76.35305528612997,60.0
700,Pope Francis Honors Feminist Abortion Activist with the Pontifical Medal of Knighthood,http://www.truthandaction.org/pope-francis-honors-feminist-abortion-activist-with-the-pontifical-medal-of-knighthood/,www.truthandaction.org,5242,2018-01-19,Uncategorized,2169,2.416781927155371,January,72.50345781466113,86.0
701,‘This Is Not America’s Finest Hour’: Madonna Flees to Portugal to ‘Escape’ Trump,http://www.truthandaction.org/this-is-not-americas-finest-hour-madonna-flees-to-portugal-to-escape-trump/,www.truthandaction.org,5240,2018-08-03,Uncategorized,1973,2.6558540293968576,August,79.67562088190573,80.0
702,WikiLeaks: CIA Disguises Its Own Hacking To Appear Russian,https://yournewswire.com/wikileaks-cia-disguises-hacking-russian/,yournewswire.com,5236,2018-07-19,Sean Adl-tabatabai,1988,2.6338028169014085,July,79.01408450704226,58.0
703,BREAKING: Sheriff Joe Arpaio Will Take Over McCain's Seat In The Senate,https://trumpbetrayed.us/all/sheriff-joe-blows-trump-on-weekends-at-bedminster/,trumpbetrayed.us,5221,2018-08-26,Flagg Eagleton,1950,2.6774358974358976,August,80.32307692307693,71.0
704,White Girl Who Said N-Word At Kendrick Lamar’s Concert Beat By Group Of Black Students At School,https://www.huzlers.com/white-girl-who-said-n-word-at-kendrick-lamars-concert-beat-by-group-of-black-students-at-school/,www.huzlers.com,5219,2018-05-25,David Martinez,2043,2.5545766030347528,May,76.6372980910426,96.0
705,Parents give her daughter a bukake on her 18th birthday thinking it was a beauty treatment,https://thereisnews.com/parents-give-her-daughter-a-bukake-on-her-18th-birthday-thinking-it-was-a-beauty-treatment3333/,thereisnews.com,5206,2018-09-05,Fabiola,1940,2.683505154639175,September,80.50515463917525,90.0
706,Cardi B and Offset Have Broken Up; He Would Rather Sleep On Bunk Beds He Shares With Takeoff And Quavo,https://www.huzlers.com/cardi-b-and-offset-have-broken-up-he-would-rather-sleep-on-bunk-beds-he-shares-with-takeoff-and-quavo/,www.huzlers.com,5161,2018-12-05,The Pharoah,1849,2.791238507301244,December,83.73715521903732,102.0
707,Top EU Official: Migrant Crisis Set To Spark Deadly Civil War In Europe,https://yournewswire.com/eu-official-migrant-crisis-civil-war-europe/,yournewswire.com,5154,2018-02-11,Sean Adl-tabatabai,2146,2.401677539608574,February,72.05032618825723,71.0
708,Major Hillary Clinton Donor to Be Indicted in Child Sex Trafficking Case,http://www.neonnettle.com/features/1409-major-hillary-clinton-donor-to-be-indicted-in-child-sex-trafficking-case,www.neonnettle.com,5121,2018-06-23,Neon Nettle,2014,2.5427010923535254,June,76.28103277060575,72.0
709,Bakker: Trump Will Get An Express Pass Into Heaven - The Business Standard News,https://bizstandardnews.com/2018/05/14/bakker-trump-will-get-an-express-pass-into-heaven/,bizstandardnews.com,5111,2018-05-14,Rondell Pettus,2054,2.488315481986368,May,74.64946445959104,79.0
711,Rosa Parks' Granddaughter: Obama Kids 'Set Blacks Back 100 Years' With Bad Behavior,https://trumpbetrayed.us/all/you-are-a-moron/,trumpbetrayed.us,5086,2018-08-26,Beth Palmer,1950,2.608205128205128,August,78.24615384615385,83.0
712,"BREAKING: LeBron James Dumps Nike, Signs With New Balance",https://worstpot.us/ever/breaking-lebron-james-dumps-nike-signs-with-new-balance/,worstpot.us,5074,2018-09-05,Beth Palmer,1940,2.6154639175257732,September,78.46391752577318,57.0
713,"Suppressed Photo of Obama, Farrakhan Surfaces after 13-Year Cover-up",http://www.truthandaction.org/suppressed-photo-of-obama-farrakhan-surfaces-after-13-year-cover-up/,www.truthandaction.org,5074,2018-01-29,Uncategorized,2159,2.35016211208893,January,70.5048633626679,68.0
714,Elizabeth Warren Refuses Simple DNA Test to Prove Native American Heritage,http://www.truthandaction.org/elizabeth-warren-refuses-simple-dna-test-to-prove-native-american-heritage/,www.truthandaction.org,5065,2018-03-13,Uncategorized,2116,2.3936672967863895,March,71.81001890359168,74.0
715,Ex-Secret Service Agent Files $1.5 Billion Lawsuit Against Clintons,http://www.neonnettle.com/news/4431-ex-secret-service-agent-files-1-5-billion-lawsuit-against-clintons,www.neonnettle.com,5053,2018-07-02,Neon Nettle,2005,2.520199501246883,July,75.60598503740648,67.0
716,Leaked 9/11 Footage Shows Missile Striking the Pentagon,http://www.neonnettle.com/news/4232-leaked-9-11-footage-shows-missile-striking-the-pentagon,www.neonnettle.com,4997,2018-05-27,Neon Nettle,2041,2.448309652131308,May,73.44928956393925,55.0
717,"20 foot Alligator found in Russellville, Ar",http://www.breakingnews247.net/5b8988ea8e810/20-foot-alligator-found-in-russellville-ar.html,www.breakingnews247.net,4986,2018-09-01,Breakingnews247.net,1944,2.564814814814815,September,76.94444444444444,43.0
718,Teens Are Sealing Their Penis Holes Closed To Avoid Using Condoms,https://www.8shit.net/teens-are-sealing-their-penis-holes-closed-to-avoid-using-condoms/,www.8shit.net,4962,2018-06-12,I'm Luis! ^-^ (@zerquix18),2025,2.4503703703703703,June,73.5111111111111,65.0
719,Clinton Insiders Preparing To Blow Whistle On Criminal Misdeeds,https://newspunch.com/clinton-insiders-preparing-blow-whistle-criminal-misdeeds/,newspunch.com,4915,2018-11-24,Sean Adl-tabatabai,1860,2.64247311827957,November,79.2741935483871,63.0
720,Clinton Insiders Preparing To Blow Whistle On Criminal Misdeeds,https://newspunch.com/clinton-insiders-preparing-blow-whistle-criminal-misdeeds/,newspunch.com,4915,2018-11-24,Sean Adl-tabatabai,1860,2.64247311827957,November,79.2741935483871,63.0
721,Vatican Cardinal's Child Rape Charge Dropped After Victim Found Dead,https://yournewswire.com/vatican-cardinal-child-rape-charge/,yournewswire.com,4899,2018-03-05,Baxter Dmitry,2124,2.306497175141243,March,69.19491525423729,68.0
722,Hazard lights officially renamed ‘I’m Parked Like A Twat Lights’,https://uokhun.uk/2018/12/05/hazard-lights-officially-renamed-im-parked-like-a-twat-lights/,uokhun.uk,4898,2018-12-05,Uncategorized,1849,2.6489994591671175,December,79.46998377501352,64.0
723,NOTICIA DE ULTIMA HORA: Taiwan exige a El Salvador que le devuelva los $4.5 millones que le entregó al expresidente Mauricio Funes para la campaña politica “Buenos Cambios”. Esto sucede despues de que rompieran relaciones diplomaticas.,http://www.12minutos.com/5b7ca409bd12f/noticia-de-ultima-hora-taiwan-exige-a-el-salvador-que-le-devuelva-los-4-5-millones-que-le-entrego-al-expresidente-mauricio-funes-para-la-campana-politica-buenos-cambios-esto-sucede-despues-de-que-rompieran-relaciones-diplomaticas.html,www.12minutos.com,4894,2018-08-22,12minutos.com,1954,2.50460593654043,August,75.13817809621288,235.0
724,"Deutsch: People Should Stop Targeting Trump, Start Going After His ‘Nazi’ Supporters",http://www.truthandaction.org/deutsch-people-should-stop-targeting-trump-start-going-after-his-nazi-supporters/,www.truthandaction.org,4891,2018-06-24,Uncategorized,2013,2.429706905116741,June,72.89120715350224,84.0
725,Chelsea Clinton Wishes Church Of Satan 'Happy New Year' On Twitter,https://yournewswire.com/chelsea-clinton-church-satan-year/,yournewswire.com,4884,2018-01-03,Baxter Dmitry,2185,2.2352402745995423,January,67.05720823798627,66.0
726,Macron: We Lied About Syria Having Chemical Weapons,https://yournewswire.com/macron-lied-syria-chemical-weapons/,yournewswire.com,4875,2018-02-14,Sean Adl-tabatabai,2143,2.2748483434437703,February,68.2454503033131,51.0
727,Woman Stabs Boyfriend For Not Liking Instagram Selfie Fast Enough,https://www.8shit.net/woman-stabs-boyfriend-not-liking-instagram-selfie-fast-enough/,www.8shit.net,4867,2018-02-27,I'm Luis! ^-^ (@zerquix18),2130,2.2849765258215964,February,68.54929577464789,65.0
728,New Poll Says 80 percent of Trump Voters Think He's Improved Race Relations - The Business Standard News,https://bizstandardnews.com/2018/08/12/new-poll-says-80-percent-of-trump-voters-think-hes-improved-race-relations/,bizstandardnews.com,4836,2018-08-12,Joan Dennison,1964,2.4623217922606924,August,73.86965376782076,104.0
729,Revealed: John Kerry's Secret Meeting with Palestinian Officals to Undermine President Trump's Israeli Policy,http://www.truthandaction.org/revealed-john-kerrys-secret-meeting-with-palestinian-officals-to-undermine-president-trumps-israeli-policy/,www.truthandaction.org,4833,2018-01-26,Uncategorized,2162,2.2354301572617947,January,67.06290471785384,109.0
730,CNN's Don Lemon Losses It When MLK's Nephew Calls President Trump a Genius,http://www.truthandaction.org/cnns-don-lemon-losses-it-when-mlks-nephew-calls-president-trump-a-genius/,www.truthandaction.org,4824,2018-01-18,Uncategorized,2170,2.223041474654378,January,66.69124423963135,74.0
731,"10,000 Children Missing from UK Government Care Amid Child Trafficking Epidemic",http://www.neonnettle.com/news/4474-10-000-children-missing-from-uk-government-care-amid-child-trafficking-epidemic,www.neonnettle.com,4806,2018-07-07,Neon Nettle,2000,2.403,July,72.08999999999999,79.0
732,Doctor gets arm stuck for 8 hours in patient’s anus during prostate exam,https://worldnewsdailyreport.com/doctor-gets-arm-stuck-for-8-hours-in-patients-anus-during-prostate-exam/,worldnewsdailyreport.com,4804,2018-05-07,Uncategorized,2061,2.3309073265405145,May,69.92721979621543,72.0
733,Walmart FEMA Camp 'Conspiracy' Is Now 'Fact' - ABC News,https://yournewswire.com/walmart-fema-camp-true/,yournewswire.com,4775,2018-06-16,Sean Adl-tabatabai,2021,2.362691736763978,June,70.88075210291936,55.0
734,Trump Confirms He Will Legalize Weed At G7,https://yournewswire.com/trump-legalize-weed/,yournewswire.com,4775,2018-06-09,Sean Adl-tabatabai,2028,2.3545364891518736,June,70.63609467455622,42.0
735,"Savage: ‘Intellectuals’ Like Diamond and Silk, Kanye Leading ‘Black Wave’ Away from Democrats - The Business Standard News",https://bizstandardnews.com/2018/10/22/savage-intellectuals-like-diamond-and-silk-kanye-leading-black-wave-away-from-democrats/,bizstandardnews.com,4759,2018-10-22,Uncategorized,1893,2.513998943475964,October,75.41996830427892,122.0
736,TV Poll: 71% of Liberals Don't Want Peace With North Korea Because Trump Would Get Credit,http://www.truthandaction.org/tv-poll-71-of-liberals-dont-want-peace-with-north-korea-because-trump-would-get-credit/,www.truthandaction.org,4753,2018-06-15,Uncategorized,2022,2.3506429277942633,June,70.51928783382789,89.0
737,BREAKING: Miami Dolphins Fire 2 Kneeling Players Before Pre-Season Kickoff,https://trumpbetrayed.us/all/breaking-miami-dolphins-fire-2-kneeling-players-before-pre-season-kickoff/,trumpbetrayed.us,4751,2018-08-28,Flagg Eagleton,1948,2.438911704312115,August,73.16735112936344,74.0
738,Mass EU Internet Censorship Laws to Be Quietly Ushered in on July 5th,http://www.neonnettle.com/news/4429-mass-eu-internet-censorship-laws-to-be-quietly-ushered-in-on-july-5th,www.neonnettle.com,4746,2018-07-02,Neon Nettle,2005,2.367082294264339,July,71.01246882793018,69.0
739,Putin Announces Total Independence from 'Rothschild-Controlled' US Dollar,http://www.neonnettle.com/news/4202-putin-announces-total-independence-from-rothschild-controlled-us-dollar,www.neonnettle.com,4726,2018-05-19,Neon Nettle,2049,2.306490971205466,May,69.19472913616399,73.0
740,Investigation reveals more than 30 Knightmare contestants didn’t come home,https://uokhun.uk/2018/10/14/investigation-reveals-more-than-30-knightmare-contestants-didnt-come-home/,uokhun.uk,4704,2018-10-14,Uncategorized,1901,2.4744871120462912,October,74.23461336138874,74.0
741,"Pedophile Priest, Who Raped 150 Children, Killed in Prison by Own Victim",http://www.neonnettle.com/features/1406-pedophile-priest-who-raped-150-children-killed-in-prison-by-own-victim,www.neonnettle.com,4691,2018-06-22,Neon Nettle,2015,2.3280397022332506,June,69.84119106699751,72.0
742,Carter: America Apparently Wants a Jerk for President,http://www.truthandaction.org/carter-america-apparently-wants-jerk-for-president/,www.truthandaction.org,4665,2018-04-02,Uncategorized,2096,2.2256679389312977,April,66.77003816793894,53.0
743,IDRIS ELBA cast as NIGEL FARAGE in movie about ex-UKIP leader,https://uokhun.uk/2018/10/20/idris-elba-cast-as-nigel-farage-in-movie-about-ex-ukip-leader/,uokhun.uk,4662,2018-10-20,Uncategorized,1895,2.4601583113456464,October,73.8047493403694,61.0
744,Peter Fonda Caught Urging Dems To Use Voter Fraud In Midterms,https://yournewswire.com/peter-fonda-voter-fraud-midterms/,yournewswire.com,4643,2018-08-06,Baxter Dmitry,1970,2.3568527918781728,August,70.70558375634518,61.0
745,Saudi Arabia Is About To Behead 6 School Girls For Acting Indecently With Their Male Friends,http://www.vtamedia.com/2018/04/19/saudi-arabia-is-about-to-behead-6-school-girls-for-acting-indecently-with-their-male-friends/,www.vtamedia.com,4642,2018-04-19,Uncategorized,2079,2.232804232804233,April,66.98412698412699,92.0
746,South Africa Gov't Says It Will 'Print More Money' And 'Make Everyone Rich',https://yournewswire.com/south-africa-print-money-rich/,yournewswire.com,4632,2018-03-05,Baxter Dmitry,2124,2.1807909604519775,March,65.42372881355932,75.0
747,Fake God’s Plan: Man Just Leaves Store After Announcing He Will Pay For Every Customers’ Cart - TRENDING,http://viralspeech.com/fake-gods-plan-man-just-leaves-store-after-announcing-he-will-pay-for-every-customers-cart/,viralspeech.com,4626,2018-05-01,Tmzworldstar,2067,2.2380261248185778,May,67.14078374455733,104.0
748,"Coyote $21,000 In Debt After Wandering Through University Campus",https://www.8shit.net/coyote-21000-debt-wandering-university-campus/,www.8shit.net,4624,2018-03-02,I'm Luis! ^-^ (@zerquix18),2127,2.1739539257169724,March,65.21861777150916,64.0
749,Shoppers fight in the aisles over fluffy dildo,https://uokhun.uk/2018/11/22/shoppers-fight-in-the-aisles-over-fluffy-dildo/,uokhun.uk,4621,2018-11-22,Uncategorized,1862,2.4817400644468313,November,74.45220193340494,46.0
750,"BREAKING: Kavanaugh Passes Lie Detector Test, Liberals In A Frenzy",https://worstpot.us/ever/breaking-kavanaugh-passes-lie-detector-test-liberals-in-a-frenzy/,worstpot.us,4618,2018-10-01,Beth Palmer,1914,2.412748171368861,October,72.38244514106583,66.0
751,Newborn baby taken into care after Mum names him KEITH,https://uokhun.uk/2018/09/30/newborn-baby-taken-into-care-after-mum-names-him-keith/,uokhun.uk,4604,2018-09-30,Uncategorized,1915,2.404177545691906,September,72.12532637075718,54.0
