,title,url,site_name,fb_engagement,published_date,category,elapsed_days,engagement_per_day,month_published,engagement_per_month,title_length
377,California Gov. Jerry Brown Outlaws Homelessness,https://yournewswire.com/california-jerry-brown-homeslessness/,yournewswire.com,13663,2018-05-02,Uncategorized,2066,6.613262342691191,May,198.39787028073573,48.0
378,Trump: New Evidence Proves Bush & Clintons Orchestrated 9/11,https://yournewswire.com/trump-evidence-bush-clintons-911/,yournewswire.com,13644,2018-07-04,Uncategorized,2003,6.811782326510235,July,204.35346979530703,60.0
380,Father of Global Warming' Scientist Finally Admits Theory Is Wrong,https://yournewswire.com/global-warming-scientist-theory/,yournewswire.com,13575,2018-07-04,Uncategorized,2003,6.777333999001498,July,203.32001997004494,66.0
381,Man Kicked Out Of The Movies For Masturbating During The Incredibles 2,https://www.huzlers.com/man-kicked-out-of-the-movies-for-masturbating-during-the-incredibles-2-3/,www.huzlers.com,13488,2018-07-06,Uncategorized,2001,6.740629685157422,July,202.21889055472263,70.0
382,John Brennan Secretly Visited Kremlin When Trump Dossier Was Created,https://yournewswire.com/john-brennan-kremlin-trump-dossier/,yournewswire.com,13391,2018-04-20,Uncategorized,2078,6.4441770933589995,April,193.32531280076998,68.0
383,Sperm bank nurse gets pregnant after not washing her hands properly,https://thereisnews.com/sperm-bank-nurse-gets-pregnant-after-not-washing-her-hands-properly3333/,thereisnews.com,13255,2018-09-02,Uncategorized,1943,6.821924858466289,September,204.65774575398868,67.0
384,"Pedophiles, Killers, Gang Members Arrested by Texas Border Agents",https://neonnettle.com/news/5684-pedophiles-killers-gang-members-arrested-by-texas-border-agents,neonnettle.com,13198,2018-11-19,Uncategorized,1865,7.076675603217158,November,212.30026809651474,65.0
385,Obama Promises to Help 'Train the Next Generation of Leaders' and Heal Our Political Divide Through Netflix Projects,http://www.truthandaction.org/obama-promises-to-help-train-the-next-generation-of-leaders-and-heal-our-political-divide-through-netflix-projects/,www.truthandaction.org,13163,2018-05-26,Uncategorized,2042,6.4461312438785505,May,193.38393731635654,116.0
386,"Protesters Vandalize Kavanaugh's House, $11,000 Damage. - ABC NEWS",http://www.abcnews.live/2018/10/01/protesters-vandalize-kavanaughs-house-11000-damage/,www.abcnews.live,13156,2018-10-01,Uncategorized,1914,6.873563218390805,October,206.20689655172416,66.0
387,Pope Francis Gives Pedophile Priest 'Diplomatic Immunity' To Avoid Prison,https://yournewswire.com/pope-francis-pedophile-priest-immunity/,yournewswire.com,13048,2018-06-24,Uncategorized,2013,6.481867858917039,June,194.4560357675112,73.0
388,UKIP appoints Rolf Harris as advisor for children’s welfare,https://uokhun.uk/2018/11/23/ukip-appoints-rolf-harris-as-advisor-for-childrens-welfare/,uokhun.uk,13046,2018-11-23,Uncategorized,1861,7.010209564750134,November,210.30628694250404,59.0
390,Woman Surprises Her Boyfriend For His Birthday By Showing Him Her Penis,https://www.8shit.net/woman-surprises-her-boyfriend-for-his-birthday-by-showing-him-her-penis/,www.8shit.net,12914,2018-06-25,Uncategorized,2012,6.418489065606362,June,192.55467196819086,71.0
391,Santa confirms everyone on Facebook is getting a fucking dictionary for Christmas,https://uokhun.uk/2018/11/16/santa-confirms-everyone-on-facebook-is-getting-a-fucking-dictionary-for-christmas/,uokhun.uk,12853,2018-11-16,Uncategorized,1868,6.880620985010706,November,206.4186295503212,81.0
392,FBI Refuses to Give Congress Evidence on Loretta Lynch's Clinton Cover-Up,http://www.neonnettle.com/news/4424-fbi-refuses-to-give-congress-evidence-on-loretta-lynch-s-clinton-cover-up,www.neonnettle.com,12744,2018-07-01,Uncategorized,2006,6.352941176470588,July,190.58823529411765,73.0
393,Woman Kills Boyfriend Because He Cheated On Her In A Dream,https://www.8shit.net/woman-kills-boyfriend-cheated-dream/,www.8shit.net,12706,2018-02-26,Uncategorized,2131,5.96245893946504,February,178.8737681839512,58.0
394,12 Girls Suffer Genital Mutilation In UK Everyday - Gov't Turning Blind Eye,https://yournewswire.com/girls-genital-mutilation-uk/,yournewswire.com,12693,2018-07-09,Uncategorized,1998,6.352852852852853,July,190.5855855855856,75.0
395,Woman grows 42-ZZ breasts thanks to sperm drinking diet,https://worldnewsdailyreport.com/woman-grows-42-zz-breasts-thanks-to-sperm-drinking-diet/,worldnewsdailyreport.com,12689,2018-07-13,Uncategorized,1994,6.363590772316951,July,190.90772316950853,55.0
396,Space exploration expert reveals that BUTTON MOON LANDINGS were faked,https://uokhun.uk/2018/10/06/space-exploration-expert-reveals-that-button-moon-landings-were-faked/,uokhun.uk,12680,2018-10-06,Uncategorized,1909,6.642221058145626,October,199.2666317443688,69.0
397,Trump Just Told George Soros To 'Go To Hell' Right To His Face,https://yournewswire.com/trump-george-soros-hell/,yournewswire.com,12578,2018-01-29,Uncategorized,2159,5.825845298749421,January,174.7753589624826,62.0
398,Miss Rabbit prosecuted for benefit fraud after claiming Jobseeker’s Allowance,https://uokhun.uk/2018/11/17/miss-rabbit-prosecuted-for-benefit-fraud-after-claiming-jobseekers-allowance/,uokhun.uk,12571,2018-11-17,Uncategorized,1867,6.73326191751473,November,201.99785752544187,77.0
399,Drug Dealer Calls Cops On Demi Lovato After She Ran Off Without Paying For Heroin,https://www.huzlers.com/drug-dealer-calls-cops-on-demi-lovato-after-she-ran-off-without-paying-for-heroin/,www.huzlers.com,12529,2018-07-31,Uncategorized,1976,6.340587044534413,July,190.2176113360324,81.0
400,Massive Pedophile Ring Exposed With Links to Pope Benedict & His Brother,http://www.neonnettle.com/news/4184-massive-pedophile-ring-exposed-with-links-to-pope-benedict-his-brother,www.neonnettle.com,12463,2018-05-13,Uncategorized,2055,6.064720194647202,May,181.94160583941607,72.0
401,Child Trafficking Camp' Discovered on Clinton Foundation Donor Property,http://www.truthandaction.org/child-trafficking-camp-discovered-clinton-foundation-donor-property/,www.truthandaction.org,12434,2018-06-05,Uncategorized,2032,6.119094488188976,June,183.57283464566927,71.0
402,Pedophile Who Raped Girl Spared Jail: 'My Religion Doesn't Condemn Child Sex',http://www.neonnettle.com/news/3675-pedophile-who-raped-girl-spared-jail-my-religion-doesn-t-condemn-child-sex-,www.neonnettle.com,12355,2018-02-12,Uncategorized,2145,5.75990675990676,February,172.7972027972028,77.0
403,Trudeau Calls For Manitoba To Be Renamed 'Peopleitoba',http://www.burrardstreetjournal.com/trudeau-calls-manitoba-renamed-peopleitoba/,www.burrardstreetjournal.com,12298,2018-02-06,Uncategorized,2151,5.717340771734077,February,171.5202231520223,54.0
404,Girl 'Kidnapped' BABIES To Be Raped on Live Stream For Elite Pedophiles,https://neonnettle.com/features/1399-girl-kidnapped-babies-to-be-raped-on-live-stream-for-elite-pedophiles,neonnettle.com,12291,2018-06-17,Uncategorized,2020,6.084653465346535,June,182.53960396039605,71.0
405,Please give £2 a month to help London’s homeless,https://uokhun.uk/2018/11/02/please-give-2-a-month-to-help-londons-homeless/,uokhun.uk,12243,2018-11-02,Uncategorized,1882,6.505313496280553,November,195.1594048884166,48.0
406,California Appoints Illegal Alien to Public Office,http://www.truthandaction.org/california-appoints-illegal-alien-to-public-office/,www.truthandaction.org,12209,2018-03-16,Uncategorized,2113,5.778040700425935,March,173.34122101277802,50.0
407,United Nations Calls World's Youngest Leader A 'Dangerous Terrorist',https://yournewswire.com/united-nations-youngest-leader-terrorist/,yournewswire.com,12188,2017-12-21,Uncategorized,2198,5.545040946314832,December,166.35122838944494,68.0
408,"Graham: California Fires Are Divine Punishment for Defying Trump, Gay Marriage - The Business Standard News",https://bizstandardnews.com/2018/08/09/graham-california-fires-are-divine-punishment-for-defying-trump-gay-marriage/,bizstandardnews.com,12157,2018-08-09,Uncategorized,1967,6.18047788510422,August,185.4143365531266,107.0
409,British Actress: Oprah Winfrey 'Pimped Me Like A Whore' To Weinstein,https://yournewswire.com/british-actress-oprah-winfrey-weinstein/,yournewswire.com,12090,2018-01-08,Uncategorized,2180,5.545871559633028,January,166.3761467889908,68.0
410,Saudi Arabia: Man’s hand cut off for masturbating during Ramadan,https://worldnewsdailyreport.com/saudi-arabia-mans-hand-cut-off-for-masturbating-during-ramadan/,worldnewsdailyreport.com,12052,2018-05-22,Uncategorized,2046,5.890518084066471,May,176.71554252199414,64.0
